Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
73,�lvaro Carreras,es ESP,DF,Benfica,21-266,2003,12,10,999,11.1,0.18,0.09,0.27,0.18,0.00,0.00,0.45,0.00,0.10,0.10,0.08,0.18,2.79,6.49,7.48,0.18,0.09,0.27,0.18,0.27,0.10,0.08,0.18,0.10,0.18,Matches
74,Jo�o Carvalho,pt POR,"FW,MF",Estoril,27-280,1997,9,8,660,7.3,0.27,0.00,0.27,0.27,0.00,0.00,0.41,0.00,0.07,0.07,0.04,0.11,1.51,6.16,2.88,0.27,0.00,0.27,0.27,0.27,0.07,0.03,0.10,0.07,0.10,Matches
75,Pedro Carvalho,pt POR,DF,Estoril,21-304,2003,8,2,287,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.09,0.09,0.09,0.19,4.69,4.69,6.25,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19,Matches
76,Vitor Carvalho,br BRA,MF,Braga,27-201,1997,13,13,1.085,12.1,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.07,0.07,0.05,0.12,0.66,4.55,1.16,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.12,0.08,0.12,Matches
77,Facundo C�seres,ar ARG,MF,Gil Vicente FC,23-200,2001,2,1,83,0.9,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
78,Cassiano,br BRA,FW,Casa Pia,35-181,1989,8,7,588,6.5,0.62,0.00,0.62,0.15,0.46,0.46,0.15,0.00,0.57,0.20,0.03,0.23,0.92,0.46,2.15,0.61,0.00,0.61,0.15,0.15,0.56,0.04,0.60,0.20,0.23,Matches
79,Jes�s Castillo,pe PER,MF,Gil Vicente FC,23-186,2001,10,7,597,6.6,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.11,0.11,0.12,0.23,0.61,4.39,1.52,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.23,0.11,0.23,Matches
80,Andr� Castro,pt POR,MF,Moreirense,36-256,1988,1,0,17,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Cristian Castro,co COL,DF,AVS Futebol,23-324,2001,12,12,992,11.0,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.01,0.01,0.07,0.08,0.45,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
82,Geny Catamo,mz MOZ,"MF,DF",Sporting CP,23-323,2001,12,8,805,8.9,0.22,0.22,0.45,0.22,0.00,0.00,0.22,0.00,0.12,0.12,0.36,0.48,5.62,5.39,11.9,0.22,0.22,0.45,0.22,0.45,0.12,0.36,0.48,0.12,0.48,Matches
83,Cau�,br BRA,FW,Gil Vicente FC,22-028,2002,10,7,583,6.5,0.15,0.00,0.15,0.15,0.00,0.00,0.31,0.00,0.12,0.12,0.02,0.14,0.92,1.23,4.62,0.15,0.00,0.15,0.15,0.15,0.12,0.01,0.14,0.12,0.14,Matches
84,C�sar,br BRA,GK,Boavista,32-322,1992,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Tidjany Chabrol,fr FRA,FW,Gil Vicente FC,22-152,2002,12,7,533,5.9,0.17,0.17,0.34,0.17,0.00,0.00,0.34,0.00,0.15,0.15,0.12,0.27,3.05,2.54,7.46,0.17,0.17,0.34,0.17,0.34,0.15,0.11,0.27,0.15,0.27,Matches
86,Till Cissokho,fr FRA,DF,Estrela,24-310,2000,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.03,0.03,0.00,0.03,0.25,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
87,Clayton,br BRA,DF,AVS Futebol,24-254,2000,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Clayton,br BRA,FW,Rio Ave,25-338,1999,13,13,1.11,12.3,0.49,0.08,0.57,0.41,0.08,0.08,0.33,0.00,0.37,0.30,0.07,0.37,0.81,1.38,4.47,0.49,0.08,0.57,0.41,0.49,0.37,0.06,0.43,0.30,0.36,Matches
